clause_text,category
The Receiving Party shall not disclose Confidential Information to any third party.,Confidentiality
Both parties agree to maintain the confidentiality of the shared data.,Confidentiality
Confidential information must be protected using appropriate technical and organizational measures.,Confidentiality
The employee shall not reveal trade secrets post-termination.,Confidentiality
Either party may terminate this Agreement by giving thirty (30) days written notice.,Termination
The Agreement may be terminated upon mutual consent of the parties.,Termination
Breach of contract will result in immediate termination without notice.,Termination
The contract will be deemed terminated if payments are delayed by 60 days.,Termination
The Company agrees to indemnify and hold harmless the Client from any liabilities.,Indemnity
Each party shall defend and indemnify the other against claims arising from negligence.,Indemnity
Supplier will indemnify the Buyer against all damages from defective products.,Indemnity
Contractor agrees to indemnify for any third-party claims resulting from services.,Indemnity
This Agreement shall be governed in accordance with the laws of the State of New York.,Governing Law
The laws of California shall govern this contract.,Governing Law
This contract shall be interpreted under English law.,Governing Law
Indian law will apply to all terms stated herein.,Governing Law
Any disputes arising from this Agreement shall be resolved through arbitration.,Dispute Resolution
Parties agree to resolve disputes via mediation before litigation.,Dispute Resolution
All conflicts will be submitted to binding arbitration.,Dispute Resolution
Disputes shall be settled in accordance with ICC rules.,Dispute Resolution
The Client shall make the payment within 15 days of receiving the invoice.,Payment Terms
Payment must be completed in full within 30 days.,Payment Terms
Late payment will incur a 2% interest per month.,Payment Terms
Invoices are due upon receipt.,Payment Terms
The Company shall deliver the goods within 30 days of the purchase order date.,Obligations
Client agrees to provide access to necessary systems and staff.,Obligations
The Consultant will provide weekly updates to the Client.,Obligations
It is the responsibility of the vendor to ensure timely delivery.,Obligations
All intellectual property created during the term of this Agreement shall belong to the Company.,Intellectual Property
Each party retains ownership of pre-existing intellectual property.,Intellectual Property
IP developed during the contract shall be jointly owned.,Intellectual Property
The licensee may not sublicense any intellectual property without written consent.,Intellectual Property
Each party agrees to comply with all applicable laws and regulations.,Compliance
Vendor must adhere to all safety and labor compliance standards.,Compliance
The service provider must meet GDPR requirements.,Compliance
All products must comply with FDA regulations.,Compliance
This Agreement shall commence on the Effective Date and continue for a period of two years.,Term
The term of this contract is one year with auto-renewal.,Term
The initial term shall last six months.,Term
"This agreement shall be valid until December 31, 2025.",Term
